number	source_category	source_name	source_repo_url	source_description_claim	claimed_paid_replacement	canonical_repo	health	license	cost_class	self_hostable	free_local_possible	external_services_required	replacement_claim_verdict	abvx_value	abvx_gap_targets	notes
11	content_factories	Presenton	github.com/presenton/presenton	AI presentation generator and API from prompts or docs.	Gamma и Beautiful.ai	presenton/presenton	maintained	Apache-2.0	LOW_COST_API	yes	no	yes	PARTIAL	REFERENCE_ONLY	presentation-production	Interesting, but ABVX already has a narrower Codex Slides donor direction.
12	content_factories	MoneyPrinterTurbo	github.com/harry0703/MoneyPrinterTurbo	Automated short-video pipeline from topic/script to voice/subtitles/render.	InVideo AI, Pictory и Fliki	harry0703/MoneyPrinterTurbo	maintained	MIT	PAID_API	yes	no	yes	PARTIAL	PILOT_WHEN_NEEDED	media_resource	Strong proof of demand, but likely expensive in models, media generation and maintenance.
13	content_factories	OpenShorts	github.com/mutonby/openshorts	Short-form clip generator and UGC workflow around long video repurposing.	OpusClip и платформы для ИИ-UGC	mutonby/openshorts	maintained	NOASSERTION	PAID_API	yes	no	yes	PARTIAL	REFERENCE_ONLY	media_resource	Observed as a fork; current maturity and licensing require caution.
14	content_factories	ViMax	github.com/HKUDS/ViMax	Agentic multi-scene video generation system.	частично Runway и ИИ-видеостудии	HKUDS/ViMax	maintained	MIT	PAID_API	yes	no	yes	PARTIAL	REFERENCE_ONLY	media_resource	Impressive research direction, but too heavy for a first ABVX media donor.
15	content_factories	Open SEO	github.com/maximemarsal/open-seo	SEO content generation and WordPress publishing pipeline.	Koala Writer, SEOWriting.ai и частично Surfer SEO	maximemarsal/open-seo	unclear	MIT	LOW_COST_API	yes	no	yes	PARTIAL	REFERENCE_ONLY	content-ops-control-plane	Current ABVX keeps editorial approval visible; direct auto-publishing is not an approved direction.
16	automation	n8n	github.com/n8n-io/n8n	Workflow automation platform with broad integration coverage and native AI features.	Zapier и Make	n8n-io/n8n	maintained	NOASSERTION	FREE_LOCAL	yes	yes	no	FAIR	PILOT_WHEN_NEEDED	external_actions	Strong general donor but larger than current bounded ABVX action needs.
17	automation	Activepieces	github.com/activepieces/activepieces	Automation platform with AI, MCP and agent-centric flows.	Zapier и Make	activepieces/activepieces	maintained	NOASSERTION	FREE_LOCAL	yes	yes	no	FAIR	REFERENCE_ONLY	external_actions	Good overlap with n8n; keep as comparison point, not a parallel adoption target.
18	productivity_business	AppFlowy	github.com/AppFlowy-IO/AppFlowy	Private workspace for docs, databases and shared knowledge.	Notion	AppFlowy-IO/AppFlowy	unclear	unclear_from_current_fetch	FREE_LOCAL	yes	yes	no	PARTIAL	REFERENCE_ONLY	personal_operator	Useful product, but ABVX should not drift into building a Notion replacement.
19	productivity_business	NocoDB	github.com/nocodb/nocodb	Self-hostable Airtable-like interface over SQL databases.	Airtable	nocodb/nocodb	maintained	NOASSERTION	FREE_LOCAL	yes	yes	no	FAIR	PILOT_WHEN_NEEDED	project_intelligence;opportunity_engine	Good donor if ABVX later needs table-first internal ops over an existing database.
20	productivity_business	Baserow	github.com/baserow/baserow	No-code database and internal app platform.	Airtable	baserow/baserow	maintained	NOASSERTION	FREE_LOCAL	yes	yes	no	PARTIAL	REFERENCE_ONLY	project_intelligence	NocoDB is a tighter first comparison point for ABVX-style structured ops.
21	productivity_business	Twenty	github.com/twentyhq/twenty	Open CRM for contacts, companies, deals and AI-oriented sales workflows.	HubSpot и Salesforce	twentyhq/twenty	maintained	NOASSERTION	FREE_LOCAL	yes	yes	no	PARTIAL	PILOT_WHEN_NEEDED	opportunity_engine	Strong ABVX donor candidate, but “replaces Salesforce” is too broad for current evidence.
22	productivity_business	Chatwoot	github.com/chatwoot/chatwoot	Open omni-channel support desk spanning chat, email and messaging.	Intercom и Zendesk	chatwoot/chatwoot	maintained	NOASSERTION	FREE_LOCAL	yes	yes	no	FAIR	PILOT_WHEN_NEEDED	autonomous_support_bug_intake	Good future donor if owner-facing support traffic justifies a dedicated inbox.
23	productivity_business	Plane	github.com/makeplane/plane	Project management platform with tasks, sprints, docs and triage.	Jira, Linear и ClickUp	makeplane/plane	maintained	AGPL-3.0	FREE_LOCAL	yes	yes	no	PARTIAL	REFERENCE_ONLY	personal_operator	Useful product but outside ABVX scope because ABVX is not meant to become a generic task manager.
24	productivity_business	Listmonk	github.com/knadh/listmonk	Self-hosted newsletter and mailing-list manager.	Mailchimp	knadh/listmonk	maintained	AGPL-3.0	FREE_LOCAL	yes	yes	no	FAIR	PILOT_WHEN_NEEDED	media_resource;opportunity_engine	Strong future donor for owned email distribution if audience operations become a bottleneck.
25	backend_analytics_storage	Supabase	github.com/supabase/supabase	Postgres platform with auth, storage, APIs and vector capabilities.	Firebase и частично Pinecone	supabase/supabase	maintained	Apache-2.0	FREE_TIER	yes	partial	no	PARTIAL	REFERENCE_ONLY	backend_analytics_storage	Already known in ABVX ecosystem; “replaces Pinecone” is only partial.
26	backend_analytics_storage	Plausible Analytics	github.com/plausible/analytics	Privacy-first self-hostable web analytics.	Google Analytics и платные сервисы аналитики	plausible/analytics	maintained	AGPL-3.0	FREE_LOCAL	yes	yes	no	FAIR	ADOPT_NOW	revenue-experiment-engine	Already production-proven in the owner’s stack.
27	backend_analytics_storage	Immich	github.com/immich-app/immich	Self-hosted photo and video management with search and face recognition.	Google Photos	immich-app/immich	maintained	AGPL-3.0	FREE_LOCAL	yes	yes	no	FAIR	REFERENCE_ONLY	media_resource	Interesting personal/media donor, but not near-term ABVX leverage.
28	backend_analytics_storage	yt-dlp	github.com/yt-dlp/yt-dlp	Command-line downloader for video, audio, subtitles and playlists.	платные загрузчики видео	yt-dlp/yt-dlp	maintained	Unlicense	FREE_LOCAL	no	yes	no	FAIR	REFERENCE_ONLY	media_resource	Utility, not a platform donor.
29	meta_repositories	Anthropic Agent Skills	github.com/anthropics/skills	Official public skill examples from Anthropic.		anthropics/skills	maintained	unclear_from_repo_metadata	FREE_LOCAL	no	yes	no	UNKNOWN	REFERENCE_ONLY	project_intelligence	Not a SaaS replacement; reference corpus only.
30	meta_repositories	Awesome Agent Skills	github.com/VoltAgent/awesome-agent-skills	Community and official skills catalog for coding agents.		VoltAgent/awesome-agent-skills	maintained	MIT	FREE_LOCAL	no	yes	no	UNKNOWN	PATTERN_SOURCE	project_intelligence	Discovery source, not a direct donor.
31	meta_repositories	Awesome MCP Servers	github.com/punkpeye/awesome-mcp-servers	Curated MCP server catalog.		punkpeye/awesome-mcp-servers	maintained	MIT	FREE_LOCAL	no	yes	no	UNKNOWN	PATTERN_SOURCE	external_actions;research_engine	Catalog, not a replacement product.
32	meta_repositories	Official MCP Servers	github.com/modelcontextprotocol/servers	Reference implementations from the protocol authors.		modelcontextprotocol/servers	maintained	NOASSERTION	FREE_LOCAL	no	yes	no	UNKNOWN	PATTERN_SOURCE	external_actions	Strong protocol reference set, not a turnkey business product.
33	meta_repositories	Awesome Copilot	github.com/github/awesome-copilot	Community collection of Copilot agents, hooks, skills and instructions.		github/awesome-copilot	maintained	MIT	FREE_LOCAL	no	yes	no	UNKNOWN	REFERENCE_ONLY	project_intelligence	Again a catalog/reference surface, not a direct SaaS replacement.
